blind_pair_id,source_item_id,source_manifest,source_manifest_sha256,source_original_path,source_edited_path,image_a_variant,image_b_variant,source_original_sha256,source_edited_sha256,question,required_change
CV11-I-0C475FEC6AD68743,preview_pilot_3a04066be0bd,data/results/main_real_200/pilot_eval_tasks_reviewed_v2.jsonl,5e685d8f036f788ed6056dc74e907b40e6d20d3f5dc09ffb1585088dc41abe4e,data/edits/main_real_200/orig/pilot_3a04066be0bd.jpg,data/edits/main_real_200/pilot_3a04066be0bd.jpg,original,edited,ab4ae11319a34a9c68505b5e880d7fef52b6c7fe37039d53a0fb105c11efd11d,b1a8dd74c6a134a6552d983210dd02cd0e9c3c2612cf5f0bbccb103919a14b7b,Is there a clearly visible chair in the image? Respond with exactly one token: yes or no.,change
CV11-I-120ABDD3FCA9E183,preview_pilot_0a85d722de99,data/results/main_real_200/pilot_eval_tasks_reviewed_v2.jsonl,5e685d8f036f788ed6056dc74e907b40e6d20d3f5dc09ffb1585088dc41abe4e,data/edits/main_real_200/orig/pilot_0a85d722de99.jpg,data/edits/main_real_200/pilot_0a85d722de99.jpg,original,edited,0629c4ca5398e0af49708cf1949486d4f5ee0ab3cfdcb04451549591ebbb146b,fda2dee283b1f143289bbf1b31d5f86fb94189e0d9535a7f856c5c3ca60eb505,Is there a clearly visible sofa in the image? Respond with exactly one token: yes or no.,change
CV11-I-147B437046E326B9,preview_pilot_e736a20e774d,data/results/main_real_200/pilot_eval_tasks_reviewed_v2.jsonl,5e685d8f036f788ed6056dc74e907b40e6d20d3f5dc09ffb1585088dc41abe4e,data/edits/main_real_200/orig/pilot_e736a20e774d.jpg,data/edits/main_real_200/pilot_e736a20e774d.jpg,original,edited,84ce55393f9db9ea00b6297aa5bde20cae8adfa21b5cba9fd3b87e3d7145e762,fbcc0e5de00103a33958039e68dcb8646628a0c6c1e37d4c96a9183ced5ebe7d,Is there a clearly visible table in the image? Respond with exactly one token: yes or no.,change
CV11-I-1535D67A1B98BF85,preview_pilot_dfc7f95c2bf6,data/results/main_real_200/pilot_eval_tasks_reviewed_v2.jsonl,5e685d8f036f788ed6056dc74e907b40e6d20d3f5dc09ffb1585088dc41abe4e,data/edits/main_real_200/orig/pilot_dfc7f95c2bf6.jpg,data/edits/main_real_200/pilot_dfc7f95c2bf6.jpg,edited,original,33fc981cccae137f024cc3b6e69d8489806d8541be21e832c894b521c132ddda,bab749179289126e089f545547357852681759b98d783ec0a018e49c7c709e24,Is there a clearly visible sofa in the image? Respond with exactly one token: yes or no.,change
CV11-I-18B8A43381C2BA8C,preview_pilot_176c9612c64a,data/results/main_real_200/pilot_eval_tasks_reviewed_v2.jsonl,5e685d8f036f788ed6056dc74e907b40e6d20d3f5dc09ffb1585088dc41abe4e,data/edits/main_real_200/orig/pilot_176c9612c64a.jpg,data/edits/main_real_200/pilot_176c9612c64a.jpg,edited,original,0f6f5cf03b4aff0c048a11df61d145dccdae359ccd46b3ae70d8e9ae349522ff,7aec28720f1749bce2326f9f0f2b17514fd5e4cb9c1f17431c75826978365d0e,Is there a clearly visible sofa in the image? Respond with exactly one token: yes or no.,change
CV11-I-1D93CA331D9F27F9,preview_pilot_f4ca71a9d739,data/results/main_real_200/pilot_eval_tasks_reviewed_v2.jsonl,5e685d8f036f788ed6056dc74e907b40e6d20d3f5dc09ffb1585088dc41abe4e,data/edits/main_real_200/orig/pilot_f4ca71a9d739.jpg,data/edits/main_real_200/pilot_f4ca71a9d739.jpg,original,edited,a401422428ebc828b428d4e6c440fea4db522ea5edafd2f7ccf47efc393fd14d,83d0888f30677fdb8c11a3a98012ab72a8bb2a98d890f30bd25851ba9593af18,Is there a clearly visible chair in the image? Respond with exactly one token: yes or no.,change
CV11-I-1FC768A26375A91D,preview_pilot_87e94c9d581e,data/results/main_real_200/pilot_eval_tasks_reviewed_v2.jsonl,5e685d8f036f788ed6056dc74e907b40e6d20d3f5dc09ffb1585088dc41abe4e,data/edits/main_real_200/orig/pilot_87e94c9d581e.jpg,data/edits/main_real_200/pilot_87e94c9d581e.jpg,edited,original,d9739dca55040a4d167a589430a0ad56b114de3c74168af92069ca9b2c3b83e8,e5d9f3eacdcf1aff4f5679475f769a7d622acb920d55823a365716b233e6a62e,Is there a clearly visible sofa in the image? Respond with exactly one token: yes or no.,change
CV11-I-22AED575A7913F66,preview_pilot_01fc561f2ad1,data/results/main_real_200/pilot_eval_tasks_reviewed_v2.jsonl,5e685d8f036f788ed6056dc74e907b40e6d20d3f5dc09ffb1585088dc41abe4e,data/edits/main_real_200/orig/pilot_01fc561f2ad1.jpg,data/edits/main_real_200/pilot_01fc561f2ad1.jpg,edited,original,512d56d2012b893968ce0582a36fcdd7fd0814949dd8451ff619b542dd75486b,322060fe314445e9c3ad6a2b4ce9ef5af1c2836a4d1d31984c59f876488ff6ca,Is the sofa absent or not clearly visible in the image? Respond with exactly one token: yes or no.,change
CV11-I-24014EFE180550D0,preview_pilot_ac33d7cb1c60,data/results/main_real_200/pilot_eval_tasks_reviewed_v2.jsonl,5e685d8f036f788ed6056dc74e907b40e6d20d3f5dc09ffb1585088dc41abe4e,data/edits/main_real_200/orig/pilot_ac33d7cb1c60.jpg,data/edits/main_real_200/pilot_ac33d7cb1c60.jpg,edited,original,d828b1e936cba153fc3dbb2296f5e05bd6b18b6db355ade45590b8cf35466204,205be1ccd03ea186abeaa2a216ce3c2147ddbdb90ebf3cfe5355fd99948a7f67,Is the sofa absent or not clearly visible in the image? Respond with exactly one token: yes or no.,change
CV11-I-27D68AECE92D03C0,preview_pilot_32bfaf9bac87,data/results/main_real_200/pilot_eval_tasks_reviewed_v2.jsonl,5e685d8f036f788ed6056dc74e907b40e6d20d3f5dc09ffb1585088dc41abe4e,data/edits/main_real_200/orig/pilot_32bfaf9bac87.jpg,data/edits/main_real_200/pilot_32bfaf9bac87.jpg,edited,original,604cb1a09285b6029c6b2fd3b542dc145b119d0528405545d4282414632bf4fe,8b0c0eb24f09cc8451373260c6fc9880c9a16807740732ca89d549990296c64d,Is the table absent or not clearly visible in the image? Respond with exactly one token: yes or no.,change
CV11-I-2F30D45EBCA022C5,preview_pilot_456e4f787513,data/results/main_real_200/pilot_eval_tasks_reviewed_v2.jsonl,5e685d8f036f788ed6056dc74e907b40e6d20d3f5dc09ffb1585088dc41abe4e,data/edits/main_real_200/orig/pilot_456e4f787513.jpg,data/edits/main_real_200/pilot_456e4f787513.jpg,original,edited,d9f4c40c93873a23310c5adeb28bce759c8d8c2ab20f9749ad3f93f476bd3219,2de535bda632aeb3ff5e35445dc3d3da17a835b5ae0838cbda4884f1f452a644,Is the sofa absent or not clearly visible in the image? Respond with exactly one token: yes or no.,change
CV11-I-35C8243EE4977510,preview_pilot_7d2acefd3647,data/results/main_real_200/pilot_eval_tasks_reviewed_v2.jsonl,5e685d8f036f788ed6056dc74e907b40e6d20d3f5dc09ffb1585088dc41abe4e,data/edits/main_real_200/orig/pilot_7d2acefd3647.jpg,data/edits/main_real_200/pilot_7d2acefd3647.jpg,edited,original,2a37a9b0144d6448e980fd87146879321a7c23f36bdf125276e5765e2961489a,bb0e186b164a0e159a5cb0d0ab0d6c2418464f8a18a6900a6fcbe1628f9f572f,Is the car absent or not clearly visible in the image? Respond with exactly one token: yes or no.,change
CV11-I-362330127BF5FCCD,preview_pilot_1de6086e7f7e,data/results/main_real_200/pilot_eval_tasks_reviewed_v2.jsonl,5e685d8f036f788ed6056dc74e907b40e6d20d3f5dc09ffb1585088dc41abe4e,data/edits/main_real_200/orig/pilot_1de6086e7f7e.jpg,data/edits/main_real_200/pilot_1de6086e7f7e.jpg,original,edited,b714ba1d4cfa100e3e27919a1ad055505f3c7c54a521ea07a78ac9b03adc9a4c,681f2f55e5b7d91af133899268c8c30fe78502ea1b639c4b494eabaf021d9afc,Is the sofa absent or not clearly visible in the image? Respond with exactly one token: yes or no.,change
CV11-I-3CEAAC8683CD8231,preview_pilot_c3c3b3c1ead9,data/results/main_real_200/pilot_eval_tasks_reviewed_v2.jsonl,5e685d8f036f788ed6056dc74e907b40e6d20d3f5dc09ffb1585088dc41abe4e,data/edits/main_real_200/orig/pilot_c3c3b3c1ead9.jpg,data/edits/main_real_200/pilot_c3c3b3c1ead9.jpg,edited,original,38d090907dc56993f4bc2548788125f2c18d544726761e7c3025ade84a1ca384,927355b511b6cf0cdf63e9945e38e59af8643f528dcc4a5bbe53a291e266efe3,Is the sofa absent or not clearly visible in the image? Respond with exactly one token: yes or no.,change
CV11-I-3CEED3146ED13D7D,preview_pilot_b531c647f29f,data/results/main_real_200/pilot_eval_tasks_reviewed_v2.jsonl,5e685d8f036f788ed6056dc74e907b40e6d20d3f5dc09ffb1585088dc41abe4e,data/edits/main_real_200/orig/pilot_b531c647f29f.jpg,data/edits/main_real_200/pilot_b531c647f29f.jpg,edited,original,3d18dc055a12da187025bc5d8249031ec45e69f7de9f04939f2ae349182750fb,14cf41b2af591b966f4c3d5122a40f97ed995aca787d960e9f394f57eb03aaa9,Is the chair absent or not clearly visible in the image? Respond with exactly one token: yes or no.,change
CV11-I-40DB6F8D9C2ACBF9,preview_pilot_aed533eb4623,data/results/main_real_200/pilot_eval_tasks_reviewed_v2.jsonl,5e685d8f036f788ed6056dc74e907b40e6d20d3f5dc09ffb1585088dc41abe4e,data/edits/main_real_200/orig/pilot_aed533eb4623.jpg,data/edits/main_real_200/pilot_aed533eb4623.jpg,original,edited,862e5c7d5ae1d55691891f6cdddc2d0949887997a013680acaca53c9dbd83666,285dbfd565de3bf91e471c4cfa7f8e1a30dd11edf981d7ea63ade0a236637b2c,Is there a clearly visible table in the image? Respond with exactly one token: yes or no.,change
CV11-I-41BCC652DEE9D45E,preview_pilot_6ea73698fe18,data/results/main_real_200/pilot_eval_tasks_reviewed_v2.jsonl,5e685d8f036f788ed6056dc74e907b40e6d20d3f5dc09ffb1585088dc41abe4e,data/edits/main_real_200/orig/pilot_6ea73698fe18.jpg,data/edits/main_real_200/pilot_6ea73698fe18.jpg,original,edited,12c2abd6a2c205527422cb7661bcd9eb9ea6eef0574a0b61fe367d6a375fe0f8,71bb97e6df570040cd2a0d198bcf210df6381248582684427c591a3a75908549,Is there a clearly visible table in the image? Respond with exactly one token: yes or no.,change
CV11-I-497D29E37E69339D,preview_pilot_38189fff62c5,data/results/main_real_200/pilot_eval_tasks_reviewed_v2.jsonl,5e685d8f036f788ed6056dc74e907b40e6d20d3f5dc09ffb1585088dc41abe4e,data/edits/main_real_200/orig/pilot_38189fff62c5.jpg,data/edits/main_real_200/pilot_38189fff62c5.jpg,edited,original,7d79a591393bdb174872f44c133dc348579394b4b50d70bf4cc0e5cd78741bbd,6e8f996d729f2af318527505dbcafd8791f5c3ea6421cc20df1136b90d5efa17,Is there a clearly visible sofa in the image? Respond with exactly one token: yes or no.,change
CV11-I-4EAFDEB806C5AB2B,preview_pilot_200ad14905aa,data/results/main_real_200/pilot_eval_tasks_reviewed_v2.jsonl,5e685d8f036f788ed6056dc74e907b40e6d20d3f5dc09ffb1585088dc41abe4e,data/edits/main_real_200/orig/pilot_200ad14905aa.jpg,data/edits/main_real_200/pilot_200ad14905aa.jpg,original,edited,c91e7b6c359dc8bdb4968557faea164d150ee9b4ae4a75f94f36026f7306b10e,d65c27b2dcbfac546d7d32006a56498e9555e913ad9c21a01a554f2c74d52dd1,Is the chair absent or not clearly visible in the image? Respond with exactly one token: yes or no.,change
CV11-I-50289A128E901CB6,preview_pilot_b318bcbc2292,data/results/main_real_200/pilot_eval_tasks_reviewed_v2.jsonl,5e685d8f036f788ed6056dc74e907b40e6d20d3f5dc09ffb1585088dc41abe4e,data/edits/main_real_200/orig/pilot_b318bcbc2292.jpg,data/edits/main_real_200/pilot_b318bcbc2292.jpg,original,edited,ad2a4739bdbe0259d52f94990d3cfc47731d1b2a7082abe027cc9a9704e4e56a,7c615dc8e8def65197d3cf0c45fc96c760ea33121802c909b405ce9c182262c7,Is there a clearly visible table in the image? Respond with exactly one token: yes or no.,change
CV11-I-50E538BD7ED2E2DF,preview_pilot_318ee03ba0c8,data/results/main_real_200/pilot_eval_tasks_reviewed_v2.jsonl,5e685d8f036f788ed6056dc74e907b40e6d20d3f5dc09ffb1585088dc41abe4e,data/edits/main_real_200/orig/pilot_318ee03ba0c8.jpg,data/edits/main_real_200/pilot_318ee03ba0c8.jpg,original,edited,66d49be4aad0d08df06af53b04bbecc12e03f62f024c1dce46211f43549b4348,59ad3a566a458c24b4bb6b2347d31025d9c36c681950c22352de0e84d8158a4e,Is there a clearly visible sofa in the image? Respond with exactly one token: yes or no.,change
CV11-I-562270F97308931B,preview_pilot_bf5dc60f7821,data/results/main_real_200/pilot_eval_tasks_reviewed_v2.jsonl,5e685d8f036f788ed6056dc74e907b40e6d20d3f5dc09ffb1585088dc41abe4e,data/edits/main_real_200/orig/pilot_bf5dc60f7821.jpg,data/edits/main_real_200/pilot_bf5dc60f7821.jpg,original,edited,311f810ba9a95871e191d8dd198f69219635ca42c613f7f26fa226ca5d85ab04,f4e0ad04c1e444196071d8c15a875cba596b697e63942d24f1fedaaea37ae25b,Is the car absent or not clearly visible in the image? Respond with exactly one token: yes or no.,change
CV11-I-5682F17BD1085B07,preview_pilot_79ae335d22ac,data/results/main_real_200/pilot_eval_tasks_reviewed_v2.jsonl,5e685d8f036f788ed6056dc74e907b40e6d20d3f5dc09ffb1585088dc41abe4e,data/edits/main_real_200/orig/pilot_79ae335d22ac.jpg,data/edits/main_real_200/pilot_79ae335d22ac.jpg,original,edited,c5a949dc4223a84b871cf029c6542baa16d597ddcc695cb0875f64eb2a3ba8af,1634723b7be23929b4dc6e6f8d2116a0f73eeec6eb775ef965ba72830a8bb542,Is there a clearly visible table in the image? Respond with exactly one token: yes or no.,change
CV11-I-583B613C10503BCA,preview_pilot_fe56617894f8,data/results/main_real_200/pilot_eval_tasks_reviewed_v2.jsonl,5e685d8f036f788ed6056dc74e907b40e6d20d3f5dc09ffb1585088dc41abe4e,data/edits/main_real_200/orig/pilot_fe56617894f8.jpg,data/edits/main_real_200/pilot_fe56617894f8.jpg,edited,original,40e4e09e265340109508a9ddcc99154573dc9fe5d08e9628c1a2b34e9a7dc421,e111a88f79421aafe39c6079b54fb1ca131b1ec600a52af49767020b11f7b05a,Is the sofa absent or not clearly visible in the image? Respond with exactly one token: yes or no.,change
CV11-I-5AE3F3ACB4DE40C0,preview_pilot_bfdba880bccd,data/results/main_real_200/pilot_eval_tasks_reviewed_v2.jsonl,5e685d8f036f788ed6056dc74e907b40e6d20d3f5dc09ffb1585088dc41abe4e,data/edits/main_real_200/orig/pilot_bfdba880bccd.jpg,data/edits/main_real_200/pilot_bfdba880bccd.jpg,edited,original,661d6bcde3a16497d10044caed94951071dcff14ac8fb765f469619d1a44e991,80a85af29d04534b1c0c92652176765f60bfa042fc51e8e89266578ab6a3b26d,Is there a clearly visible sofa in the image? Respond with exactly one token: yes or no.,change
CV11-I-5F0B8B200445C406,preview_pilot_bddcf74cb433,data/results/main_real_200/pilot_eval_tasks_reviewed_v2.jsonl,5e685d8f036f788ed6056dc74e907b40e6d20d3f5dc09ffb1585088dc41abe4e,data/edits/main_real_200/orig/pilot_bddcf74cb433.jpg,data/edits/main_real_200/pilot_bddcf74cb433.jpg,original,edited,647429ad8b7ac8b82f7306fb0b58fca483a897bb7e1826e73f95874fad2ac8d3,61055f58feac84a218368d57731206695f0298f619a90ee58b84daa7c1dc5745,Is there a clearly visible table in the image? Respond with exactly one token: yes or no.,change
CV11-I-62EB230BB7611C98,preview_pilot_bceacc91c7dd,data/results/main_real_200/pilot_eval_tasks_reviewed_v2.jsonl,5e685d8f036f788ed6056dc74e907b40e6d20d3f5dc09ffb1585088dc41abe4e,data/edits/main_real_200/orig/pilot_bceacc91c7dd.jpg,data/edits/main_real_200/pilot_bceacc91c7dd.jpg,edited,original,3a3356291d69c81c3e1841ea7d948a0d1328d83e31d64c54a9f9abef7992eceb,7a90b139a46fac37b083577c3c694c6309536a1c465ce95f79a7eb57bfc25b9f,Is the sofa absent or not clearly visible in the image? Respond with exactly one token: yes or no.,change
CV11-I-64D053A11384C602,preview_pilot_9ce3ddd62737,data/results/main_real_200/pilot_eval_tasks_reviewed_v2.jsonl,5e685d8f036f788ed6056dc74e907b40e6d20d3f5dc09ffb1585088dc41abe4e,data/edits/main_real_200/orig/pilot_9ce3ddd62737.jpg,data/edits/main_real_200/pilot_9ce3ddd62737.jpg,edited,original,7f60bcc402c6fcabcb3848646f5d23788d151f212c38b83d0a208fe22e5909fa,2093aa846060ce630d1c7ea448ff0e3349cf6080d561097d31a3e5504f45d24c,Is the chair absent or not clearly visible in the image? Respond with exactly one token: yes or no.,change
CV11-I-67F368AA6CD33402,preview_pilot_b2b9037f5bc4,data/results/main_real_200/pilot_eval_tasks_reviewed_v2.jsonl,5e685d8f036f788ed6056dc74e907b40e6d20d3f5dc09ffb1585088dc41abe4e,data/edits/main_real_200/orig/pilot_b2b9037f5bc4.jpg,data/edits/main_real_200/pilot_b2b9037f5bc4.jpg,edited,original,c2774dd1de469771397b80c45ae10c9ed7a1df00d6f3f245621ef625fa68a0e5,eda3edb357f2b920b3d69ca754af32c9e040bc7ffb4b8e5053f356bafc67785f,Is the sofa absent or not clearly visible in the image? Respond with exactly one token: yes or no.,change
CV11-I-70598AD901F3B67F,preview_pilot_821a9a874446,data/results/main_real_200/pilot_eval_tasks_reviewed_v2.jsonl,5e685d8f036f788ed6056dc74e907b40e6d20d3f5dc09ffb1585088dc41abe4e,data/edits/main_real_200/orig/pilot_821a9a874446.jpg,data/edits/main_real_200/pilot_821a9a874446.jpg,original,edited,c5eea9d407a6476e5d0a077206972dac161f684f30dcd2d67b07b9724a165c73,666b41daf8e576908231caf81ccaae84e96015f3e6b5251032f9fb63ed230554,Is there a clearly visible chair in the image? Respond with exactly one token: yes or no.,change
CV11-I-7059ED025A03CA13,preview_pilot_0c14103036aa,data/results/main_real_200/pilot_eval_tasks_reviewed_v2.jsonl,5e685d8f036f788ed6056dc74e907b40e6d20d3f5dc09ffb1585088dc41abe4e,data/edits/main_real_200/orig/pilot_0c14103036aa.jpg,data/edits/main_real_200/pilot_0c14103036aa.jpg,original,edited,8518fbff744371b66b843d85c22b004a5625150e2ca06de04b65ebe4680a6883,f8c7aa43c415c9fb356c0ec2cb26557067740339114c0b585699348befdfdb23,Is the table absent or not clearly visible in the image? Respond with exactly one token: yes or no.,change
CV11-I-7069305191367AE3,preview_pilot_a2236f567b45,data/results/main_real_200/pilot_eval_tasks_reviewed_v2.jsonl,5e685d8f036f788ed6056dc74e907b40e6d20d3f5dc09ffb1585088dc41abe4e,data/edits/main_real_200/orig/pilot_a2236f567b45.jpg,data/edits/main_real_200/pilot_a2236f567b45.jpg,original,edited,47fc62d46dbd3e7a59ffa545b1136fc65f2ee24d4a62fbf725eaebe2c8f43c32,e2ac6fb6cd9fcf9abbb7a4e0ad7621c6b68944baf8d49a477d47ec2bbda2a70f,Is there a clearly visible sofa in the image? Respond with exactly one token: yes or no.,change
CV11-I-737A4E899A271768,preview_pilot_305c8d329d20,data/results/main_real_200/pilot_eval_tasks_reviewed_v2.jsonl,5e685d8f036f788ed6056dc74e907b40e6d20d3f5dc09ffb1585088dc41abe4e,data/edits/main_real_200/orig/pilot_305c8d329d20.jpg,data/edits/main_real_200/pilot_305c8d329d20.jpg,edited,original,0a8b3b7a6dbf3d23ae846dfb9e4d7494a67352e80cf98a0fd1b19f777f11d95e,b00fae21a29f36031ad08d0a592c32dda5844291f080d27532219be22e051f0e,Is the table absent or not clearly visible in the image? Respond with exactly one token: yes or no.,change
CV11-I-73813E3BE1534A06,preview_pilot_caf50be3f2be,data/results/main_real_200/pilot_eval_tasks_reviewed_v2.jsonl,5e685d8f036f788ed6056dc74e907b40e6d20d3f5dc09ffb1585088dc41abe4e,data/edits/main_real_200/orig/pilot_caf50be3f2be.jpg,data/edits/main_real_200/pilot_caf50be3f2be.jpg,edited,original,501ff9adf7600822c7fcf123538b24ed9a67285d0362292fa1bc7d197aba2fd1,c6cae112e956e87ace12c48bc49505e15e7a2c1528406a239994e250b97b25b5,Is there a clearly visible chair in the image? Respond with exactly one token: yes or no.,change
CV11-I-7452BACD942DCDE3,preview_pilot_da1a9a03c0b6,data/results/main_real_200/pilot_eval_tasks_reviewed_v2.jsonl,5e685d8f036f788ed6056dc74e907b40e6d20d3f5dc09ffb1585088dc41abe4e,data/edits/main_real_200/orig/pilot_da1a9a03c0b6.jpg,data/edits/main_real_200/pilot_da1a9a03c0b6.jpg,original,edited,be7600214692cd7d429fd220ccf967297d8308eb5329b3745c157a8ea956deb1,fd6cc233b15a0a5d82c0e34fcc064346291828e72a12151f6af5e58f703d6a5e,Is the table absent or not clearly visible in the image? Respond with exactly one token: yes or no.,change
CV11-I-7885C01708D5B821,preview_pilot_33e99a8cf8c5,data/results/main_real_200/pilot_eval_tasks_reviewed_v2.jsonl,5e685d8f036f788ed6056dc74e907b40e6d20d3f5dc09ffb1585088dc41abe4e,data/edits/main_real_200/orig/pilot_33e99a8cf8c5.jpg,data/edits/main_real_200/pilot_33e99a8cf8c5.jpg,original,edited,8690b900a1ad2af32c92d78c780129b55ca9ba3134d008afaa1ab4fc18533c63,8151b9b410e751c6876b86f92cb1328b30c0191f87bfccf3cd2c7e4ccc07e71b,Is there a clearly visible table in the image? Respond with exactly one token: yes or no.,change
