stage,notebook,provider,required_inputs,accelerator,internet,estimated_min,estimated_typical,estimated_max,expected_output,paper_evidence,parallel_group,prerequisites,retry_policy
DECODING_ROBUSTNESS,CONTRACT_PREPARED; executable notebook intentionally pending frozen secondary input,internvl_8b,SECONDARY_CONTRACT;FROZEN_TASK_SUBSET;MODEL_SNAPSHOT;SECONDARY_PERMISSION,T4x2,OFF,60,120,240,secondary_decoding_robustness_internvl_8b_return.zip,False,DECODING_ROBUSTNESS_PROVIDERS,primary frozen/completed; separate secondary task identity; no selection contamination,fresh secondary permission; never substitute for primary
NATURAL_ABSENCE_CONTROL,CONTRACT_PREPARED; executable notebook intentionally pending frozen secondary input,internvl_8b,SECONDARY_CONTRACT;FROZEN_TASK_SUBSET;MODEL_SNAPSHOT;SECONDARY_PERMISSION,T4x2,OFF,60,120,180,secondary_natural_absence_control_internvl_8b_return.zip,False,NATURAL_ABSENCE_CONTROL_PROVIDERS,primary frozen/completed; separate secondary task identity; no selection contamination,fresh secondary permission; never substitute for primary
00C2_REAL_MODEL_SMOKE,runbooks/04_REAL_MODEL_SMOKE/00C2_llava_onevision_7b_real_model_two_item_smoke.ipynb,llava_onevision_7b,COMMON;MODEL_SNAPSHOT;REAL_TWO_ITEM_SMOKE;PROVIDER_PERMISSION,T4x2,OFF,20,40,60,00C2_llava_onevision_7b_real_model_smoke.zip,False,00C2_PROVIDERS_AFTER_SHARED_BYTES,two licensed real items; current 00A/00B; distinct permission,fresh permission unless prelaunch failure
CONFIRMATORY_PROVIDER,runbooks/06_CONFIRMATORY_MODELS/04_llava_specificity_confirmatory_T4x2.ipynb,llava_onevision_7b,COMMON;MODEL_SNAPSHOT;FROZEN_CONFIRMATORY_TASKS;PROVIDER_PERMISSION,T4x2,OFF,60,150,240,confirmatory_llava_onevision_7b_return.zip,conditional_true_only_after_valid_import,CONFIRMATORY_PROVIDERS,00C2 PASS; generation QA; human review; freeze; detectability PASS,transactional resume only when contract permits; otherwise new permission
REPEAT_DETERMINISM,CONTRACT_PREPARED; executable notebook intentionally pending frozen secondary input,llava_onevision_7b,SECONDARY_CONTRACT;FROZEN_TASK_SUBSET;MODEL_SNAPSHOT;SECONDARY_PERMISSION,T4x2,OFF,30,60,90,secondary_repeat_determinism_llava_onevision_7b_return.zip,False,REPEAT_DETERMINISM_PROVIDERS,primary frozen/completed; separate secondary task identity; no selection contamination,fresh secondary permission; never substitute for primary
PROMPT_ROBUSTNESS,CONTRACT_PREPARED; executable notebook intentionally pending frozen secondary input,llava_onevision_7b,SECONDARY_CONTRACT;FROZEN_TASK_SUBSET;MODEL_SNAPSHOT;SECONDARY_PERMISSION,T4x2,OFF,60,150,240,secondary_prompt_robustness_llava_onevision_7b_return.zip,False,PROMPT_ROBUSTNESS_PROVIDERS,primary frozen/completed; separate secondary task identity; no selection contamination,fresh secondary permission; never substitute for primary
DECODING_ROBUSTNESS,CONTRACT_PREPARED; executable notebook intentionally pending frozen secondary input,llava_onevision_7b,SECONDARY_CONTRACT;FROZEN_TASK_SUBSET;MODEL_SNAPSHOT;SECONDARY_PERMISSION,T4x2,OFF,60,120,240,secondary_decoding_robustness_llava_onevision_7b_return.zip,False,DECODING_ROBUSTNESS_PROVIDERS,primary frozen/completed; separate secondary task identity; no selection contamination,fresh secondary permission; never substitute for primary
NATURAL_ABSENCE_CONTROL,CONTRACT_PREPARED; executable notebook intentionally pending frozen secondary input,llava_onevision_7b,SECONDARY_CONTRACT;FROZEN_TASK_SUBSET;MODEL_SNAPSHOT;SECONDARY_PERMISSION,T4x2,OFF,60,120,180,secondary_natural_absence_control_llava_onevision_7b_return.zip,False,NATURAL_ABSENCE_CONTROL_PROVIDERS,primary frozen/completed; separate secondary task identity; no selection contamination,fresh secondary permission; never substitute for primary
CONFIRMATORY_GENERATION,runbooks/05_CONFIRMATORY_GENERATION/01_specificity_confirmatory_generation_T4x2.ipynb,shared,COMMON;LICENSED_SOURCE_MANIFEST;LICENSED_SOURCE_BYTES;GENERATION_CONTRACT,T4x2,OFF,120,300,480,confirmatory_generation_return.zip,False,,00C2 PASS; license/source validation,resume validated journal; preserve completed images
MAIN500_CONDITIONAL,runbooks/07_MAIN_CONDITIONAL/10-13 provider suite,all,SIGNED_CONFIRMATORY_GO;FRESH_FREEZE;REVIEW;DETECTABILITY;PERMISSIONS,T4x2,OFF,DERIVE,DERIVE_FROM_CONFIRMATORY_THROUGHPUT,DERIVE,main_*_return.zip,conditional,MAIN_PROVIDERS,CONDITIONAL_NOT_AUTHORIZED until genuine GO,fresh provider-specific permission
SECOND_DOMAIN_CONDITIONAL,runbooks/08_SECOND_DOMAIN_CONDITIONAL/20-23 suite,all,LICENSE;SOURCE_MANIFEST;DOMAIN_CONTRACT;REVIEW;PERMISSIONS,T4x2,OFF,DERIVE,DERIVE_FROM_MEASURED_THROUGHPUT,DERIVE,second_domain_*_return.zip,conditional,SECOND_DOMAIN_PROVIDERS,dataset selection and execution authorization,fresh provider-specific permission
