blind_order,blind_pair_id,image_a,image_b,question,prompt_unambiguous,image_answerable,target_visible_a,target_visible_b,target_unaffected,expected_answer_relation_valid,expected_answer_unchanged,perturbation_acceptable,artifact_severity,retention_decision,confidence,notes,reviewer_code,reviewed_at_utc
11,CV11-C-54F50C5E5B6E67F9,images/CV11-C-54F50C5E5B6E67F9_A.jpg,images/CV11-C-54F50C5E5B6E67F9_B.jpg,Is there a clearly visible table in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
12,CV11-C-3F0B43DE0EF41003,images/CV11-C-3F0B43DE0EF41003_A.jpg,images/CV11-C-3F0B43DE0EF41003_B.jpg,Is there a clearly visible chair in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
13,CV11-C-F5F321C55244D200,images/CV11-C-F5F321C55244D200_A.jpg,images/CV11-C-F5F321C55244D200_B.jpg,Is there a clearly visible chair in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
14,CV11-C-B64FDCA17285198B,images/CV11-C-B64FDCA17285198B_A.jpg,images/CV11-C-B64FDCA17285198B_B.jpg,Is there a clearly visible sofa in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
15,CV11-C-1FBF319B21E25210,images/CV11-C-1FBF319B21E25210_A.jpg,images/CV11-C-1FBF319B21E25210_B.jpg,Is there a clearly visible car in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
16,CV11-C-E88BB4A8CC2B234A,images/CV11-C-E88BB4A8CC2B234A_A.jpg,images/CV11-C-E88BB4A8CC2B234A_B.jpg,Is there a clearly visible table in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
17,CV11-C-1C3B555C864D19B7,images/CV11-C-1C3B555C864D19B7_A.jpg,images/CV11-C-1C3B555C864D19B7_B.jpg,Is there a clearly visible chair in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
18,CV11-C-0759399104FB3F0D,images/CV11-C-0759399104FB3F0D_A.jpg,images/CV11-C-0759399104FB3F0D_B.jpg,Is there a clearly visible car in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
19,CV11-C-8B95CBAFDC6AAFCD,images/CV11-C-8B95CBAFDC6AAFCD_A.jpg,images/CV11-C-8B95CBAFDC6AAFCD_B.jpg,Is there a clearly visible table in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
20,CV11-C-C3D6375B9D298536,images/CV11-C-C3D6375B9D298536_A.jpg,images/CV11-C-C3D6375B9D298536_B.jpg,Is there a clearly visible table in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
21,CV11-C-7E427AAD5F625370,images/CV11-C-7E427AAD5F625370_A.jpg,images/CV11-C-7E427AAD5F625370_B.jpg,Is there a clearly visible table in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
22,CV11-C-5C82D04029A27987,images/CV11-C-5C82D04029A27987_A.jpg,images/CV11-C-5C82D04029A27987_B.jpg,Is there a clearly visible car in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
23,CV11-C-81E44F325B3B6471,images/CV11-C-81E44F325B3B6471_A.jpg,images/CV11-C-81E44F325B3B6471_B.jpg,Is there a clearly visible table in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
24,CV11-C-24024EF0F22D48E1,images/CV11-C-24024EF0F22D48E1_A.jpg,images/CV11-C-24024EF0F22D48E1_B.jpg,Is there a clearly visible sofa in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
25,CV11-C-C1A0845BB372F471,images/CV11-C-C1A0845BB372F471_A.jpg,images/CV11-C-C1A0845BB372F471_B.jpg,Is there a clearly visible sofa in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
26,CV11-C-C3F7C8CDBA1E33AF,images/CV11-C-C3F7C8CDBA1E33AF_A.jpg,images/CV11-C-C3F7C8CDBA1E33AF_B.jpg,Is there a clearly visible table in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
27,CV11-C-E780890E1A28DB21,images/CV11-C-E780890E1A28DB21_A.jpg,images/CV11-C-E780890E1A28DB21_B.jpg,Is there a clearly visible table in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
28,CV11-C-1754A13DE9A49449,images/CV11-C-1754A13DE9A49449_A.jpg,images/CV11-C-1754A13DE9A49449_B.jpg,Is there a clearly visible sofa in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
29,CV11-C-DB7B19ECA331024B,images/CV11-C-DB7B19ECA331024B_A.jpg,images/CV11-C-DB7B19ECA331024B_B.jpg,Is there a clearly visible sofa in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
30,CV11-C-30A2EE0A44D15F9C,images/CV11-C-30A2EE0A44D15F9C_A.jpg,images/CV11-C-30A2EE0A44D15F9C_B.jpg,Is there a clearly visible chair in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
31,CV11-C-F992BC01FDF77617,images/CV11-C-F992BC01FDF77617_A.jpg,images/CV11-C-F992BC01FDF77617_B.jpg,Is there a clearly visible car in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
32,CV11-C-24FA1E8C2FA52A9A,images/CV11-C-24FA1E8C2FA52A9A_A.jpg,images/CV11-C-24FA1E8C2FA52A9A_B.jpg,Is there a clearly visible table in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
33,CV11-C-9FF9E2BB27D2795B,images/CV11-C-9FF9E2BB27D2795B_A.jpg,images/CV11-C-9FF9E2BB27D2795B_B.jpg,Is there a clearly visible chair in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
34,CV11-C-74093DA3775A2865,images/CV11-C-74093DA3775A2865_A.jpg,images/CV11-C-74093DA3775A2865_B.jpg,Is there a clearly visible chair in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
35,CV11-C-337D1DBFC1338426,images/CV11-C-337D1DBFC1338426_A.jpg,images/CV11-C-337D1DBFC1338426_B.jpg,Is there a clearly visible sofa in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
36,CV11-C-1D707CA78D7A0267,images/CV11-C-1D707CA78D7A0267_A.jpg,images/CV11-C-1D707CA78D7A0267_B.jpg,Is there a clearly visible table in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
37,CV11-C-1650FA5DFC568876,images/CV11-C-1650FA5DFC568876_A.jpg,images/CV11-C-1650FA5DFC568876_B.jpg,Is there a clearly visible sofa in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
38,CV11-C-AD0AAF7AAA3D9A2D,images/CV11-C-AD0AAF7AAA3D9A2D_A.jpg,images/CV11-C-AD0AAF7AAA3D9A2D_B.jpg,Is there a clearly visible car in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
39,CV11-C-8755565EA864819F,images/CV11-C-8755565EA864819F_A.jpg,images/CV11-C-8755565EA864819F_B.jpg,Is there a clearly visible table in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
40,CV11-C-522C0245D87D06A3,images/CV11-C-522C0245D87D06A3_A.jpg,images/CV11-C-522C0245D87D06A3_B.jpg,Is there a clearly visible chair in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
41,CV11-C-49EA26A6149A48EB,images/CV11-C-49EA26A6149A48EB_A.jpg,images/CV11-C-49EA26A6149A48EB_B.jpg,Is there a clearly visible car in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
42,CV11-C-F17F0252BAB92825,images/CV11-C-F17F0252BAB92825_A.jpg,images/CV11-C-F17F0252BAB92825_B.jpg,Is there a clearly visible sofa in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
43,CV11-C-28B00687D763A42D,images/CV11-C-28B00687D763A42D_A.jpg,images/CV11-C-28B00687D763A42D_B.jpg,Is there a clearly visible sofa in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
44,CV11-C-C4B24ADE935FAF1D,images/CV11-C-C4B24ADE935FAF1D_A.jpg,images/CV11-C-C4B24ADE935FAF1D_B.jpg,Is there a clearly visible car in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
45,CV11-C-C829CA9A4BCCF4B8,images/CV11-C-C829CA9A4BCCF4B8_A.jpg,images/CV11-C-C829CA9A4BCCF4B8_B.jpg,Is there a clearly visible sofa in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
46,CV11-C-FB4FE8BC8DA8014F,images/CV11-C-FB4FE8BC8DA8014F_A.jpg,images/CV11-C-FB4FE8BC8DA8014F_B.jpg,Is there a clearly visible chair in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
47,CV11-C-9507FB772789FEED,images/CV11-C-9507FB772789FEED_A.jpg,images/CV11-C-9507FB772789FEED_B.jpg,Is there a clearly visible sofa in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
48,CV11-C-CC6163DEE4040572,images/CV11-C-CC6163DEE4040572_A.jpg,images/CV11-C-CC6163DEE4040572_B.jpg,Is there a clearly visible chair in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
49,CV11-C-2BD6EAD0530FF7F6,images/CV11-C-2BD6EAD0530FF7F6_A.jpg,images/CV11-C-2BD6EAD0530FF7F6_B.jpg,Is there a clearly visible car in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
50,CV11-C-F1C106CA6EC3AC6B,images/CV11-C-F1C106CA6EC3AC6B_A.jpg,images/CV11-C-F1C106CA6EC3AC6B_B.jpg,Is there a clearly visible car in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
51,CV11-C-48BCF51740FC13EB,images/CV11-C-48BCF51740FC13EB_A.jpg,images/CV11-C-48BCF51740FC13EB_B.jpg,Is there a clearly visible chair in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
52,CV11-C-35B8EE7B4CF18C27,images/CV11-C-35B8EE7B4CF18C27_A.jpg,images/CV11-C-35B8EE7B4CF18C27_B.jpg,Is there a clearly visible sofa in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
53,CV11-C-A1D4018FD893DF81,images/CV11-C-A1D4018FD893DF81_A.jpg,images/CV11-C-A1D4018FD893DF81_B.jpg,Is there a clearly visible car in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
54,CV11-C-322B1D6DBDF67F1E,images/CV11-C-322B1D6DBDF67F1E_A.jpg,images/CV11-C-322B1D6DBDF67F1E_B.jpg,Is there a clearly visible sofa in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
55,CV11-C-77F14A051D4AECFC,images/CV11-C-77F14A051D4AECFC_A.jpg,images/CV11-C-77F14A051D4AECFC_B.jpg,Is there a clearly visible sofa in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
56,CV11-C-6C2664460453F81A,images/CV11-C-6C2664460453F81A_A.jpg,images/CV11-C-6C2664460453F81A_B.jpg,Is there a clearly visible table in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
57,CV11-C-E67F9D82B8A825B2,images/CV11-C-E67F9D82B8A825B2_A.jpg,images/CV11-C-E67F9D82B8A825B2_B.jpg,Is there a clearly visible sofa in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
58,CV11-C-0B87B77D21E6765E,images/CV11-C-0B87B77D21E6765E_A.jpg,images/CV11-C-0B87B77D21E6765E_B.jpg,Is there a clearly visible chair in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
59,CV11-C-D923095582D50393,images/CV11-C-D923095582D50393_A.jpg,images/CV11-C-D923095582D50393_B.jpg,Is there a clearly visible sofa in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
60,CV11-C-9F0876EBACD61473,images/CV11-C-9F0876EBACD61473_A.jpg,images/CV11-C-9F0876EBACD61473_B.jpg,Is there a clearly visible car in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
61,CV11-C-5313E77AB1EA121A,images/CV11-C-5313E77AB1EA121A_A.jpg,images/CV11-C-5313E77AB1EA121A_B.jpg,Is there a clearly visible table in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
62,CV11-C-D71202552A0190EC,images/CV11-C-D71202552A0190EC_A.jpg,images/CV11-C-D71202552A0190EC_B.jpg,Is there a clearly visible chair in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
63,CV11-C-CE25129625812E47,images/CV11-C-CE25129625812E47_A.jpg,images/CV11-C-CE25129625812E47_B.jpg,Is there a clearly visible chair in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
64,CV11-C-43513E9C22DF67DB,images/CV11-C-43513E9C22DF67DB_A.jpg,images/CV11-C-43513E9C22DF67DB_B.jpg,Is there a clearly visible table in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
65,CV11-C-B448E3F2DB29819D,images/CV11-C-B448E3F2DB29819D_A.jpg,images/CV11-C-B448E3F2DB29819D_B.jpg,Is there a clearly visible table in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
66,CV11-C-F3E8FF6D1E734B00,images/CV11-C-F3E8FF6D1E734B00_A.jpg,images/CV11-C-F3E8FF6D1E734B00_B.jpg,Is there a clearly visible car in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
67,CV11-C-F602C3C16D939F2C,images/CV11-C-F602C3C16D939F2C_A.jpg,images/CV11-C-F602C3C16D939F2C_B.jpg,Is there a clearly visible table in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
68,CV11-C-990AEEF301FCA6B7,images/CV11-C-990AEEF301FCA6B7_A.jpg,images/CV11-C-990AEEF301FCA6B7_B.jpg,Is there a clearly visible car in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
69,CV11-C-EA9D54FBFDED46AE,images/CV11-C-EA9D54FBFDED46AE_A.jpg,images/CV11-C-EA9D54FBFDED46AE_B.jpg,Is there a clearly visible table in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
70,CV11-C-A50449DDF5DE6C43,images/CV11-C-A50449DDF5DE6C43_A.jpg,images/CV11-C-A50449DDF5DE6C43_B.jpg,Is there a clearly visible chair in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
71,CV11-C-F2AB297A23CAA9FC,images/CV11-C-F2AB297A23CAA9FC_A.jpg,images/CV11-C-F2AB297A23CAA9FC_B.jpg,Is there a clearly visible sofa in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
72,CV11-C-FB39C9A960C78270,images/CV11-C-FB39C9A960C78270_A.jpg,images/CV11-C-FB39C9A960C78270_B.jpg,Is there a clearly visible chair in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
73,CV11-C-12CBF5E0E1BA5809,images/CV11-C-12CBF5E0E1BA5809_A.jpg,images/CV11-C-12CBF5E0E1BA5809_B.jpg,Is there a clearly visible car in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
74,CV11-C-E47AE76263F97F34,images/CV11-C-E47AE76263F97F34_A.jpg,images/CV11-C-E47AE76263F97F34_B.jpg,Is there a clearly visible table in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
75,CV11-C-8414BD490118D98D,images/CV11-C-8414BD490118D98D_A.jpg,images/CV11-C-8414BD490118D98D_B.jpg,Is there a clearly visible table in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
76,CV11-C-86485460C1C5A74E,images/CV11-C-86485460C1C5A74E_A.jpg,images/CV11-C-86485460C1C5A74E_B.jpg,Is there a clearly visible chair in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
77,CV11-C-BF15674C1E853B3E,images/CV11-C-BF15674C1E853B3E_A.jpg,images/CV11-C-BF15674C1E853B3E_B.jpg,Is there a clearly visible chair in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
78,CV11-C-A59EC3E0115E7C22,images/CV11-C-A59EC3E0115E7C22_A.jpg,images/CV11-C-A59EC3E0115E7C22_B.jpg,Is there a clearly visible sofa in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
79,CV11-C-4E0A19F97FE39C72,images/CV11-C-4E0A19F97FE39C72_A.jpg,images/CV11-C-4E0A19F97FE39C72_B.jpg,Is there a clearly visible car in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
80,CV11-C-FB37886E9FC90F65,images/CV11-C-FB37886E9FC90F65_A.jpg,images/CV11-C-FB37886E9FC90F65_B.jpg,Is there a clearly visible sofa in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
81,CV11-C-00631A0FAE343267,images/CV11-C-00631A0FAE343267_A.jpg,images/CV11-C-00631A0FAE343267_B.jpg,Is there a clearly visible chair in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
82,CV11-C-D392203754078DD1,images/CV11-C-D392203754078DD1_A.jpg,images/CV11-C-D392203754078DD1_B.jpg,Is there a clearly visible table in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
83,CV11-C-D1D0447B160CB598,images/CV11-C-D1D0447B160CB598_A.jpg,images/CV11-C-D1D0447B160CB598_B.jpg,Is there a clearly visible chair in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
84,CV11-C-A3F2F3518B85AC21,images/CV11-C-A3F2F3518B85AC21_A.jpg,images/CV11-C-A3F2F3518B85AC21_B.jpg,Is there a clearly visible car in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
85,CV11-C-FF702A6964061817,images/CV11-C-FF702A6964061817_A.jpg,images/CV11-C-FF702A6964061817_B.jpg,Is there a clearly visible sofa in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
86,CV11-C-3E64605D8D4C6CD7,images/CV11-C-3E64605D8D4C6CD7_A.jpg,images/CV11-C-3E64605D8D4C6CD7_B.jpg,Is there a clearly visible car in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
87,CV11-C-1F4E5AABCB8C8F4F,images/CV11-C-1F4E5AABCB8C8F4F_A.jpg,images/CV11-C-1F4E5AABCB8C8F4F_B.jpg,Is there a clearly visible table in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
88,CV11-C-B28BFF95B6C534D3,images/CV11-C-B28BFF95B6C534D3_A.jpg,images/CV11-C-B28BFF95B6C534D3_B.jpg,Is there a clearly visible sofa in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
89,CV11-C-93C2AEDA601C5619,images/CV11-C-93C2AEDA601C5619_A.jpg,images/CV11-C-93C2AEDA601C5619_B.jpg,Is there a clearly visible car in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
90,CV11-C-60E0D4DB3559E0D6,images/CV11-C-60E0D4DB3559E0D6_A.jpg,images/CV11-C-60E0D4DB3559E0D6_B.jpg,Is there a clearly visible car in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
91,CV11-C-FC66D1AABDC29A6F,images/CV11-C-FC66D1AABDC29A6F_A.jpg,images/CV11-C-FC66D1AABDC29A6F_B.jpg,Is there a clearly visible sofa in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
92,CV11-C-4171943B4A2BD0A8,images/CV11-C-4171943B4A2BD0A8_A.jpg,images/CV11-C-4171943B4A2BD0A8_B.jpg,Is there a clearly visible chair in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
93,CV11-C-CEC83674A59480AB,images/CV11-C-CEC83674A59480AB_A.jpg,images/CV11-C-CEC83674A59480AB_B.jpg,Is there a clearly visible chair in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
94,CV11-C-C4254E101D1B7D72,images/CV11-C-C4254E101D1B7D72_A.jpg,images/CV11-C-C4254E101D1B7D72_B.jpg,Is there a clearly visible chair in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
