blind_order,blind_pair_id,image_a,image_b,question,prompt_unambiguous,image_answerable,target_visible_a,target_visible_b,target_unaffected,expected_answer_relation_valid,expected_answer_unchanged,perturbation_acceptable,artifact_severity,retention_decision,confidence,notes,reviewer_code,reviewed_at_utc
15,CV11-S-C9AB24BA1E3F7F17,images/CV11-S-C9AB24BA1E3F7F17_A.jpg,images/CV11-S-C9AB24BA1E3F7F17_B.jpg,Is there a clearly visible chair in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
16,CV11-S-332F3B95C3A8CA94,images/CV11-S-332F3B95C3A8CA94_A.jpg,images/CV11-S-332F3B95C3A8CA94_B.jpg,Is there a clearly visible sofa in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
17,CV11-S-16B8E560A72A44DB,images/CV11-S-16B8E560A72A44DB_A.jpg,images/CV11-S-16B8E560A72A44DB_B.jpg,Is there a clearly visible car in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
18,CV11-S-3278BC773EBBC5EC,images/CV11-S-3278BC773EBBC5EC_A.jpg,images/CV11-S-3278BC773EBBC5EC_B.jpg,Is there a clearly visible sofa in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
19,CV11-S-552A01060CEEF703,images/CV11-S-552A01060CEEF703_A.jpg,images/CV11-S-552A01060CEEF703_B.jpg,Is there a clearly visible chair in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
20,CV11-S-EF227179268E0A63,images/CV11-S-EF227179268E0A63_A.jpg,images/CV11-S-EF227179268E0A63_B.jpg,Is there a clearly visible chair in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
21,CV11-S-B4EFA05AA2A39808,images/CV11-S-B4EFA05AA2A39808_A.jpg,images/CV11-S-B4EFA05AA2A39808_B.jpg,Is there a clearly visible sofa in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
22,CV11-S-D78C867C9F04BCB9,images/CV11-S-D78C867C9F04BCB9_A.jpg,images/CV11-S-D78C867C9F04BCB9_B.jpg,Is there a clearly visible chair in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
23,CV11-S-3BD2CFF0BD4F2E6E,images/CV11-S-3BD2CFF0BD4F2E6E_A.jpg,images/CV11-S-3BD2CFF0BD4F2E6E_B.jpg,Is there a clearly visible table in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
24,CV11-S-2752C15F8EDEAC2A,images/CV11-S-2752C15F8EDEAC2A_A.jpg,images/CV11-S-2752C15F8EDEAC2A_B.jpg,Is there a clearly visible car in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
25,CV11-S-1BB7C18E38817538,images/CV11-S-1BB7C18E38817538_A.jpg,images/CV11-S-1BB7C18E38817538_B.jpg,Is there a clearly visible sofa in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
26,CV11-S-2FAFE7F253D9F605,images/CV11-S-2FAFE7F253D9F605_A.jpg,images/CV11-S-2FAFE7F253D9F605_B.jpg,Is there a clearly visible table in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
27,CV11-S-9ED0D14290F3EB6A,images/CV11-S-9ED0D14290F3EB6A_A.jpg,images/CV11-S-9ED0D14290F3EB6A_B.jpg,Is there a clearly visible chair in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
28,CV11-S-A18162C49B3880D0,images/CV11-S-A18162C49B3880D0_A.jpg,images/CV11-S-A18162C49B3880D0_B.jpg,Is there a clearly visible chair in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
29,CV11-S-0C9F2134DF5FB456,images/CV11-S-0C9F2134DF5FB456_A.jpg,images/CV11-S-0C9F2134DF5FB456_B.jpg,Is there a clearly visible table in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
30,CV11-S-F0260597BBD976AF,images/CV11-S-F0260597BBD976AF_A.jpg,images/CV11-S-F0260597BBD976AF_B.jpg,Is there a clearly visible car in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
