artifact_id,artifact_path,experiment_family,model_provider,dataset_domain,run_tag,item_count,evidence_class,raw_or_derived_status,upstream_source,sha256,timestamp,validation_status,paper_claim_eligibility,paper_evidence,diagnostic_only,human_reviewed,known_limitations,canonical_status
v1_specificity_llava_onevision_7b,data/results/main_real_200/kaggle_spurious/pred_llava_onevision_7b_spurious_merged.jsonl,spurious_v1,llava_onevision_7b,ADE20K/household,remaining_llava_onevision_7b_spurious_shard0,94,REAL_OBSERVED_EVIDENCE,raw_model_output,data/edits/spurious_flip_control/pilot_eval_tasks_reviewed.jsonl,81d40e6942b8db147472987b22d55f876eda3c88ed370a20b9fe7b3ab457c67c,2026-07-08T08:27:54.939979+00:00,188 rows; 94 complete original/edited pairs; strict parse complete,False,False,False,False,Historical model revision is unpinned and control validity review is incomplete.,canonical_raw
pilot_report_llava_onevision_7b,data/results/main_real_200/pilot_report__llava_onevision_7b/pilot_result.json,intervention_pilot,llava_onevision_7b,ADE20K/household,v11_recomputed_report,91,DERIVED_FROM_REAL_EVIDENCE,derived_statistics,data/results/main_real_200/raw_predictions__llava_onevision_7b/presence__pred_llava_onevision_7b_presence_merged.jsonl,f8cce07613da8df85b16188d7ebba6fd3a80be65eda923f1d77906fe87d322d6,2026-07-12T03:34:45.020276+00:00,raw-pair metrics and confidence-sequence values cross-checked,False,False,False,False,Numeric threshold crossing is not full scientific certification.,canonical_derived
qwen_v1_failure_forensics,data/results/main_real_200/v8_1_qwen_spurious_forensics/qwen_spurious_failed_12.jsonl,spurious_v1_forensics,qwen2_5_vl_7b,ADE20K/household,v8_1_recompute,12,DIAGNOSTIC_ONLY,derived_diagnostic,data/results/main_real_200/kaggle_spurious/pred_qwen2_5_vl_7b_spurious_merged.jsonl,e012b938fbc56b30848fa776e7e3f9fc45f63c22453c3932e41eeb84a9c4cc6d,2026-07-12T03:32:43.435127+00:00,12 failures reproduce from raw pair differences,False,False,True,False,Machine visual labels are not human labels; mechanism attribution is unsupported.,canonical_diagnostic
spurious_v2_retrospective_tasks,data/edits/spurious_v2_control/pilot_eval_tasks_reviewed.jsonl,spurious_v2,all,ADE20K/household,seed_9009_retrospective,30,DIAGNOSTIC_ONLY,input_manifest,data/edits/spurious_flip_control/pilot_eval_tasks_reviewed.jsonl,58694872601c34bfc787c62f09cfe539949bc2caf9cc0f244ba87e59804c7f64,2026-07-12T03:36:01.564538+00:00,30 unique items; geometry constraints validated; no provider outputs present,False,False,True,False,All items reuse V1; constructed after V1 outcomes; 26 detectability values are null.,retrospective_diagnostic_only
spurious_v2_kaggle_bundle,dist/kaggle_remaining_runs/certvic_spurious_v2_control.zip,spurious_v2,all,ADE20K/household,private_kaggle_input,30,PLANNED_NOT_EXECUTED,execution_package,data/edits/spurious_v2_control/pilot_eval_tasks_reviewed.jsonl,61102740bb1ad76d0315b65839c3a73ad502fd204b77b1634a5003913e29d277,2026-07-12T03:36:01.720160+00:00,package present; provider result artifacts absent,False,False,True,False,Source metadata disallows redistribution; private execution only pending license verification.,canonical_execution_package
human_review_second_rater,data/results/main_real_200/review_iaa/second_rater_review_sheet.csv,human_validation,none,ADE20K/household,second_rater_pending,91,HUMAN_REVIEW_PENDING,blank_review_template,data/results/main_real_200/pilot_eval_tasks_reviewed_v2.jsonl,7ee0118e1ce9a0c98046f69941dc809bb0f3f156ce9963a0f40862ac286829b5,2026-06-24T19:47:36.269996+00:00,file exists but decision fields are blank,False,False,False,False,No independent human judgments are present.,canonical_pending
v11_blinded_review_packet,reports/v11_full_ceiling_audit/human_review_packet/packet_manifest.json,human_validation,none,ADE20K/household,seed_110713_private_blinded_packet,227,HUMAN_REVIEW_PENDING,blank_review_packet,pilot91; V1 control94; strict retrospective control30; anonymized diagnostic12,e237e254a1936dd5612203414e8b8f9edeaca5186ab9f2006b1b2a1af4648792,2026-07-12T03:09:58.970016+00:00,four-track packet is deterministic and blinded; all human fields remain blank,False,False,False,False,Private coordinated review only; agreement has not been computed.,canonical_pending
main91_detectability_v11,reports/v11_full_ceiling_audit/analysis/main91_detectability/detectability_summary.json,construct_validity_diagnostic,none,ADE20K/household,grouped_item_cv_v11,91,DIAGNOSTIC_ONLY,derived_diagnostic,data/results/main_real_200/pilot_eval_tasks_reviewed_v2.jsonl,5d021b8dbeef50ddd218c910abe65e0fc394058db701cee4f606ab8495e91d9a,2026-07-12T03:10:17.226871+00:00,grouped-by-item CV and symmetric AUC,False,False,True,False,Classifier separability does not validate item semantics or prove artifact absence.,canonical_diagnostic
v2_retrospective_detectability_v11,reports/v11_full_ceiling_audit/analysis/v2_retrospective_detectability/detectability_summary.json,construct_validity_diagnostic,none,ADE20K/household,grouped_item_cv_v11,30,DIAGNOSTIC_ONLY,derived_diagnostic,data/edits/spurious_v2_control/pilot_eval_tasks_reviewed.jsonl,d671c3f6aee84ebfba38d61ece0f7fec3ce74e04f0e127954fb5f5ad4f8baec6,2026-07-12T03:10:24.376635+00:00,30/30 paired scores plus grouped-by-item symmetric AUC,False,False,True,False,Post-selection diagnostic; cannot repair retrospective item selection or establish semantics.,canonical_diagnostic
main500_protocol,configs/certvic_v11_protocol.yaml,main500,all,ADE20K/household,seed_11011_planned,500,PLANNED_NOT_EXECUTED,prospective_protocol,none,bcbc106df0a5166735c17ed04879a92da505b6e9d73e1e9235977a83234140d9,2026-07-11T22:37:41.553994+00:00,execution_allowed_now=false,False,False,False,False,"Specificity, human review, objective quality, importer, and revision prerequisites remain open.",canonical_protocol
synthetic_smoke_matrix,data/results/v1_1_smoke_matrix/mock_spurious_flip/predictions.jsonl,software_validation,mock_spurious_flip,synthetic,v1_1_smoke,24,SYNTHETIC_TEST_FIXTURE,synthetic_fixture,tests,25c156c28d13cae2880e05eac0d6565e81e460b38a6aa5395a928eff321cd629,2026-06-21T11:23:54.495673+00:00,retained for regression testing only,False,False,True,False,Never usable as empirical evidence.,canonical_test_fixture
historical_v9_paper,paper/main_v9.tex,paper,all,ADE20K/household,v9,not applicable,DEPRECATED_OR_STALE,historical_document,historical V7-V9 outputs,2a593e3c7d90470dd71cf52fc026e7cea122b13df1426531ea612c4f80c685ed,2026-07-09T08:54:58.424978+00:00,retained for provenance; superseded by V11,False,False,False,False,Contains stale framing and cannot establish present project state.,superseded
v11_paper_draft,paper/main_v11.pdf,paper,all,ADE20K/household,v11_evidence_safe_draft,not applicable,DERIVED_FROM_REAL_EVIDENCE,paper_draft,raw predictions and V11 audit,d9a01c930c892059268d119f0d296b8ff1a5d924b42c2799631866e9213fa76b,2026-07-12T03:36:42.915968+00:00,compiled and visually inspected; claim eligibility remains false,False,False,False,False,Draft is pilot-scale and not submission-ready.,current_draft
